NUDT15,0.9040104214589342,0.0003303316582029498
CA2,0.8777236225150351,0.0008416983502452776
KIT,0.8758578823774207,0.0008921641077988976
TSPAN15,0.8627931860092136,0.001309548721783258
MRPL23,0.8610518701367263,0.0013742767595947064
ENO2,0.8527425579058701,0.0017155517813681582
TPBG,0.8497726461227093,0.0018512048561623417
SFTPB,0.8490966095837995,0.001883135829742357
SLC7A8,0.8373024667105962,0.0025066340098033584
MAGI3,0.8336781545441581,0.0027249287864437614
SBDS,0.8311828152066655,0.0028829672906981667
DPY19L2,0.8241198892626118,0.003365991350853434
CA10,0.815789905291406,0.004007324535298338
DVL2,0.8103515363187201,0.004470512646711861
EGR1,0.8090149667575536,0.004589961526588248
KRT18,0.8073942382383289,0.0047378454499091786
NEU1,0.799384828500032,0.0055190422945048095
NR4A1,0.7961897373916365,0.005854849427336424
KATNA1,0.791714516448713,0.00634931236219337
MPP7,0.7911519878401695,0.006413496882863423
OSM,0.7896022739805553,0.006592703093985048
SPON1,0.7886036383511799,0.006710050691451589
GAB2,0.7871713107617264,0.0068809393211477585
QSOX1,0.78712665522121,0.006886316232532526
RORC,0.7847620016203423,0.007175323148672646
RCC1,0.7846652720754989,0.0071873253915299825
TNF,0.7809602247260032,0.007657850196356281
IL2,0.779425267321816,0.007859025630429367
MATN2,0.7783984653617109,0.007995671293578607
ARHGEF1,0.7753220847572434,0.008415132525572258
ING1,0.7747256858188514,0.008498214584356725
REPS1,0.77041456221314,0.00911611145164691
CKMT2,0.769156010176307,0.009302312552643513
TAGAP,0.7683518502796831,0.009422682100078147
EGR2,0.7650619999508343,0.009926573205086067
FOXO4,0.7594937894875192,0.010822210422439695
SLC19A2,0.758130387732845,0.01104987682938943
ADCK2,0.7575227644684781,0.011152416140080498
TNFRSF12A,0.7552386585161676,0.011543852399028387
PRSS35,0.7523941280060686,0.012044690200548235
SLC20A1,0.7479996392517676,0.012848087913290037
HCN3,0.7466184273773163,0.013108156912474567
RILPL2,0.746120020209203,0.013202899806573245
GPRASP1,0.7439341341296346,0.013624080966378153
COL5A1,0.7437729876404243,0.013655497910587623
FOS,0.7395719142099569,0.014492519232264047
ZNF846,0.7374001272188144,0.014938964170447083
NCEH1,0.7344955868252834,0.01555090868483474
JARID2,0.7326963003146425,0.015938627894321197
HINT3,0.7323050262929375,0.016023823572281028
ZNF574,0.7302483577636226,0.016476858173877718
SERTAD2,0.7279106858633769,0.017002520076746977
CLK4,0.7277693810221897,0.017034663227455643
KLHL25,0.7259086515907129,0.017461877372402842
DNAAF2,0.7253683342297077,0.01758731164437299
OAT,0.7247834279322118,0.017723800679354994
TMEM201,0.7244237008522567,0.017808107765311807
EPB41L5,0.723144867951532,0.01811007306270864
DSE,0.7222622454466902,0.018320542095109506
IRS2,0.7180749392145761,0.019342183034512257
ITGAV,0.717573614233603,0.01946708312111676
LRP12,0.7163811356604555,0.01976641767584761
PPP1R15A,0.7163364164232324,0.019777704577153485
RAB20,0.7151473738329808,0.020079450157151287
IL17RE,0.7151369151863,0.02008211829651705
RMDN2,0.7141492512454803,0.020335190446422357
SLC25A36,0.7138192560951391,0.020420234902726837
MFSD9,0.7129294138521169,0.02065078410773703
NAV2,0.7126493202136933,0.020723723942967252
SLC3A2,0.7119927978009913,0.020895387347952734
DUSP1,0.7115641473138221,0.021007996434677344
DAAM1,0.7112688663911557,0.021085811756492105
KLHL15,0.7090471190962069,0.021677698659732174
JUN,0.7068356883335972,0.02227811638221962
SMOX,0.7052199715061308,0.022723969677364283
DDIT3,0.7035822703230028,0.023182120220171652
GOT1,0.7023138070863227,0.02354131367394992
RNF24,0.701913834641335,0.023655363621456454
